@0	0000000000001000
@1	1100101000011000
@2	1011100110101010
@3	0111010010111001
@4	1011001011001001
@5	0000101110100101
@6	1011000001100110
@7	0110100010111000
@8	0101101010010111
@9	0000000000100000
@A	1110011000110111
@B	0010110010000110
@C	0101100110100110
@D	0000110011101001
@E	1011111110011101
@F	0010000111010110
@10	0011101101101000
@11	1101001000000000
@12	1001101111000001
@13	1101010111100100
@14	0011000110111010
@15	0111000001000000
@16	0001011110001001
@17	0101010010101001
@18	0001101111010101
@19	0001000001110110
@1A	1110100001000110
@1B	1001101110011000
@1C	1111100001100011
@1D	0010110011111101
@1E	0001100111011000
@1F	1000111110000110
@20	0111010100100101
@21	0010110100000010
@22	1011100011010000
@23	0010010001010111
@24	1001000110101110
@25	1011110101011111
@26	0100100100110010
@27	0100100011111100
@28	0100000101010000
@29	0010111001100010
@2A	1000000010101011
@2B	1111011000011111
@2C	1100010001011101
@2D	1100001001110100
@2E	0000100001111111
@2F	0100110111011110
@30	1001010100010100
@31	1001000011110000
@32	1001010100100111
@33	0110011111011100
@34	0001010110010000
@35	1011111110010100
@36	1100111000101100
@37	1001001011101000
@38	0011010010101100
@39	0110001010001001
@3A	0000111000011011
@3B	1110001111110111
@3C	0010111010111011
@3D	1110011010001111
@3E	0011000110100001
@3F	0101010010010111
@40	0101111000110100
@41	1110101001100001
@42	0001011101011000
@43	0000100001010000
@44	1010110001010011
@45	1100110101110011
@46	0101110000010001
@47	0111110111100110
@48	0101101000011110
@49	1111101101100010
@4A	1010011111101111
@4B	0101100010111010
@4C	0101110111000001
@4D	1111011101000110
@4E	0000010101110011
@4F	0011010011100011
@50	0101000100111110
@51	0000011100011110
@52	0001100100011000
@53	0111000001000010
@54	0000110110101011
@55	1010110000100000
@56	0100101001001101
@57	0001001110111001
@58	0000001100101111
@59	0111111110001000
@5A	0001101100100001
@5B	1001000111100001
@5C	1111100011001001
@5D	1100010110001110
@5E	0100101110010110
@5F	1110100000101101
@60	1111000100000101
@61	0111001100100000
@62	1010010110001101
@63	1001011100100001
@64	0110011111000110
@65	1100100010011111
@66	1000101010011110
@67	1000101001100011
@68	1011101110011100
@69	1011010010001100
@6A	0001010110011001
@6B	1100010110101111
@6C	1101010010111111
@6D	1010001001101011
@6E	1111101011000010
@6F	1111101001000110
@70	1010000100110010
@71	1111010011001111
@72	0011111000111011
@73	1010010101000101
@74	0110010001001011
@75	0100011101000110
@76	1010101111110101
@77	0010001001010111
@78	0011011111001011
@79	1010101010110011
@7A	0001000110011100
@7B	1110010110000010
@7C	0101100110101001
@7D	0100111110111000
@7E	0111000110010111
@7F	1110001110111100
@80	1100110110101110
@81	0101010001011110
@82	1001110100000111
@83	1011011111111010
@84	0111111001100101
@85	0010000101010110
@86	1100011001100000
@87	0101101011100110
@88	0001100010101000
@89	0011110110110010
