@0	1111111111101001
@1	1111111011110000
@2	1111111110011010
@3	0000000100111011
@4	1111111100110010
@5	1111111010110111
@6	1111111111010101
@7	1111111001100110
@8	0000000011010111
@9	1111110100001111
@A	1111111111000001
@B	0000001011000100
@C	0000001000110010
@D	0000000110011000
@E	1111111110010101
@F	0000000001101001
@10	0000000010011101
@11	0000010000110100
@12	1111110101111010
@13	1111111100100010
@14	0000010000000010
@15	1111111001011011
@16	1111111011011010
@17	1111111110101000
@18	1111111110011000
@19	0000000111011010
@1A	0000001001011010
@1B	1111111110110101
@1C	0000001000111101
@1D	0000000101100011
@1E	0000000010100110
@1F	1111111111111000
