@0	0000000000100000
@1	0011111100111101
@2	0011000110110011
@3	1001011110010010
@4	1000100110011011
@5	0100111011000110
@6	0101100010000100
@7	0111000000010100
@8	1101100011001010
@9	0110011101010100
@A	0101010111000110
@B	0111000000111001
@C	1101110101101101
@D	1100000010101011
@E	0101011110000101
@F	0101000110011111
@10	1001010101000100
@11	1110100110110010
@12	1010000110001011
@13	1001011100110101
@14	0010110001110010
@15	0000100000011001
@16	1101010011101001
@17	1100101100010010
@18	0001110000001000
@19	1011100010111101
@1A	1111100110110100
@1B	0010001100011110
@1C	0111100011110101
@1D	1101110000010010
@1E	1100100110000100
@1F	1010110100010111
@20	1110000100011111
@21	1010110110110000
@22	0111100111001100
@23	0010100011101110
@24	0010001100100000
@25	0011001111010111
@26	1100001101101001
@27	1111001100101111
@28	0011000001001100
@29	1110101111000001
@2A	0011110001011010
@2B	1110011111111101
@2C	1110101010110010
@2D	1010001010100110
@2E	0100000000011010
@2F	1011000110011100
@30	1100010110100110
@31	1101111011111100
@32	0001000000110111
@33	1000100000110100
@34	0001111011000001
@35	1011000000001111
@36	0110111010100110
@37	0010111110100100
@38	1001101011110101
@39	0000110010110111
@3A	1001010010010111
@3B	1101010011011111
@3C	0100111101011101
@3D	1010010100011001
@3E	0110011110111101
@3F	1111000110100100
@40	0001011100101111
@41	0000100010100010
@42	1010000101111100
@43	1100100111001101
@44	1010011010000001
@45	1111101011111100
@46	0000100000010000
@47	1110101010010111
@48	0100101000000101
@49	0000100011000101
@4A	0011101001010011
@4B	0110111100111010
@4C	1110010100101101
@4D	0110011001010000
@4E	1001001011110111
@4F	1110000100010101
@50	0101010011011111
@51	1010011010001110
@52	0100000001010011
@53	0011111000110110
@54	0111001101010000
@55	1111011011110111
@56	1001011000100101
@57	1101011111100000
@58	1101111001010101
@59	1001111001010001
@5A	0110011110010111
@5B	1001101000101000
@5C	0000110100011100
@5D	1000101010100011
@5E	1010110001010100
@5F	1010101011000110
@60	1011110000001010
@61	0000111110011000
@62	0001100010111110
@63	0010001001011101
@64	1010100010011111
@65	1010001100111000
@66	0000111111100110
@67	0000101111010101
@68	1111011001001010
@69	0000011011111010
@6A	1010010111101010
@6B	0100010010111100
@6C	0111111110101100
@6D	1010010001101101
@6E	1110001101100110
@6F	0110001101010011
@70	1100010100100010
@71	1000011010001010
@72	1010001010001010
@73	0101111010101101
@74	0011001000010011
@75	0111100000111001
@76	0111010000110111
@77	0011100110110011
@78	1101000111110000
@79	0100100100001111
@7A	0001100001000010
@7B	0100001010001101
@7C	0110000101111100
@7D	1001101111011001
@7E	0110111000010000
@7F	0011011011100101
@80	0111111000100010
